时间,公司名称,公司名称链接,行业,轮次,金额,投资方,最新估值(估算),字段1,字段2,字段3
2016-9-21,泰米智能,https://www.itjuzi.com/company/76778,天使轮,1000万人民币,初创投资,5000万人民币,教育,儿童早教,玩具,
2016-9-21,贝尔科教集团,https://www.itjuzi.com/company/44734,A轮,8000万人民币,高通Qualcomm Ventures源政投资黑马基金,4亿人民币,教育,K12,机器人,
2016-9-21,布卡互动,https://www.itjuzi.com/company/35936,天使轮,200万人民币,未透露,1000万人民币,企业服务,云服务,直播,
2016-9-21,Robo Wunderkind,https://www.itjuzi.com/company/44690,种子轮,50万美元,Arkley VC,1625万人民币,教育,素质教育,数字化教辅教材,
2016-9-21,DaDa英语,https://www.itjuzi.com/company/12621,B轮,亿元及以上人民币,涌铧投资,5亿人民币,教育,儿童早教,语言学习,
2016-9-20,智慧云教育,https://www.itjuzi.com/company/40873,天使轮,未透露,真格基金,500万人民币,教育,教育信息化,知识分享,
2016-9-20,椅子网,https://www.itjuzi.com/company/35603,Pre-A轮,数千万人民币,达内科技（领投）金葵花资本,1.5亿人民币,教育,职业培训,企业培训,
2016-9-19,Hi-Finance孵亚贤泽,https://www.itjuzi.com/company/67320,Pre-A轮,1000万人民币,兴证财富管理学院,5000万人民币,教育,职业培训,企业培训,
2016-9-19,首尔韩语培训中心,https://www.itjuzi.com/company/35149,天使轮,数百万人民币,沪江教育-互桂基金,1500万人民币,教育,语言学习,就业指导,
2016-9-19,悦迪胎教亲子馆,https://www.itjuzi.com/company/30777,A轮,未透露,顶级教育基金,1亿人民币,教育,儿童早教,亲子教育,
2016-9-19,Stoodnt,https://www.itjuzi.com/company/44590,种子轮,30万美元,未透露,975万人民币,教育,教育信息化,签证服务,
2016-9-18,易助教,https://www.itjuzi.com/company/33484876,天使轮,未透露,岩桥投资,500万人民币,教育,K12,线下培训机构,
2016-9-18,签到荚,https://www.itjuzi.com/company/44544,种子轮,100万人民币,未透露,500万人民币,教育,教育信息化,就业指导,
2016-9-18,Guild Education,https://www.itjuzi.com/company/44539,A轮,850万美元,Redpoint Ventures红点全球基金Harrison MetalCowboy VenturesSocial Capital Partners...,2.76亿人民币,教育,教育综合服务,语言学习,
2016-9-14,VIP陪练,https://www.itjuzi.com/company/54087,Pre-A轮,100万美元,金沙江创投,3250万人民币,教育,素质教育,融资节奏快,
2016-9-14,随时随课,https://www.itjuzi.com/company/58791,种子轮,数百万人民币,瀚海资本-瀚海控股,1500万人民币,教育,教育综合服务,知识分享,
2016-9-13,童游,https://www.itjuzi.com/company/21790,Pre-A轮,1000万人民币,未透露,5000万人民币,教育,儿童早教,亲子游,
2016-9-12,石头培优,https://www.itjuzi.com/company/32324338,战略投资,1000万人民币,基因资本,5000万人民币,教育,K12,,
2016-9-12,阔地教育,https://www.itjuzi.com/company/5312,B轮,数千万人民币,瑞领资本（领投）,1.5亿人民币,教育,教育信息化,直播,
2016-9-12,小码王,https://www.itjuzi.com/company/29361,天使轮,200万人民币,杭州多融创投（领投）甬港无咖投资,1000万人民币,教育,儿童早教,素质教育,
2016-9-12,格如灵,https://www.itjuzi.com/company/44545,天使轮,600万人民币,松禾资本暴风科技,3000万人民币,教育,教育信息化,VR技术,
2016-9-12,时代智囊,https://www.itjuzi.com/company/44363,A轮,5000万人民币,华众沃赋,2.5亿人民币,教育,K12,录播,
